"ds" "trend" "additive_terms" "additive_terms_lower" "additive_terms_upper" "yearly" "yearly_lower" "yearly_upper" "multiplicative_terms" "multiplicative_terms_lower" "multiplicative_terms_upper" "yhat_lower" "yhat_upper" "trend_lower" "trend_upper" "yhat"
"5725" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1585.88825699016 3399.43089337537 892.113328328911 892.113328328911 934.695463501559
"5726" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1606.87745994805 3589.69078760575 892.113328328911 892.113328328911 934.695463501559
"5727" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1561.25740199582 3353.97775265303 892.113328328911 892.113328328911 934.695463501559
"5728" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1582.1412927929 3597.85421023818 892.113328328911 892.113328328911 934.695463501559
"5729" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1628.43577672741 3478.72222278018 892.113328328911 892.113328328911 934.695463501559
"5730" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1797.58576080339 3413.77697835883 892.113328328911 892.113328328911 934.695463501559
"5731" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1511.26381273679 3577.24676886751 892.113328328911 892.113328328911 934.695463501559
"5732" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1711.89431619061 3528.61427865458 892.113328328911 892.113328328911 934.695463501559
"5733" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1527.30579188459 3525.24784196595 892.113328328911 892.113328328911 934.695463501559
"5734" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1522.8445136627 3666.30590164918 892.113328328911 892.113328328911 934.695463501559
"5735" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1421.18517366725 3739.69713421023 892.113328328911 892.113328328911 934.695463501559
"5736" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1428.30798875972 3396.73640280718 892.113328328911 892.113328328911 934.695463501559
"5737" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1613.4153341187 3364.80485022405 892.113328328911 892.113328328911 934.695463501559
"5738" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1497.22400336484 3634.05647985771 892.113328328911 892.113328328911 934.695463501559
"5739" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1782.7103428031 3369.92274926008 892.113328328911 892.113328328911 934.695463501559
"5740" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1357.20244492566 3524.30874066103 892.113328328911 892.113328328911 934.695463501559
"5741" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1636.89443476381 3528.33125690228 892.113328328911 892.113328328911 934.695463501559
"5742" 2014-06-01 892.113328328911 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 42.5821351726481 0 0 0 -1616.76236985797 3327.37401190239 892.113328328911 892.113328328911 934.695463501559
