"ds" "type" "y" "floor" "t" "y_scaled"
"114" 2000-09-01 "Cautelar Incidental" 1 0 0.0372860635696821 7.5295534974776e-05
"115" 2000-09-01 "Conflito de Compet\xc3\xaancia" 5 0 0.0372860635696821 0.00037647767487388
"116" 2000-09-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 3 0 0.0372860635696821 0.000225886604924328
"117" 2000-09-01 "Desaforamento" 3 0 0.0372860635696821 0.000225886604924328
"118" 2000-09-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 288 0 0.0372860635696821 0.0216851140727355
"119" 2000-09-01 "Embargos Infringentes" 1 0 0.0372860635696821 7.5295534974776e-05
"120" 2000-09-01 "Habeas Corpus" 60 0 0.0372860635696821 0.00451773209848656
"121" 2000-09-01 "Mandado de Seguran\xc3\xa7a" 3 0 0.0372860635696821 0.000225886604924328
"122" 2000-09-01 "Processo Crime" 7 0 0.0372860635696821 0.000527068744823432
"123" 2000-09-01 "Recurso de Of\xc3\xadcio" 1 0 0.0372860635696821 7.5295534974776e-05
"124" 2000-09-01 "Recurso em Sentido Estrito" 37 0 0.0372860635696821 0.00278593479406671
"125" 2000-09-01 "Reexame Necess\xc3\xa1rio" 39 0 0.0372860635696821 0.00293652586401626
"126" 2000-10-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 1 0 0.0418704156479218 7.5295534974776e-05
"127" 2000-10-01 "Agravo" 95 0 0.0418704156479218 0.00715307582260372
"128" 2000-10-01 "Agravo de Instrumento" 912 0 0.0418704156479218 0.0686695278969957
"129" 2000-10-01 "Agravo Inominado" 1 0 0.0418704156479218 7.5295534974776e-05
"130" 2000-10-01 "Agravo Interno" 55 0 0.0418704156479218 0.00414125442361268
"131" 2000-10-01 "Agravo Regimental" 32 0 0.0418704156479218 0.00240945711919283
"132" 2000-10-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 2131 0 0.0418704156479218 0.160454785031248
"133" 2000-10-01 "Apela\xc3\xa7\xc3\xa3o Crime" 206 0 0.0418704156479218 0.0155108802048039
"134" 2000-10-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 279 0 0.0418704156479218 0.0210074542579625
"135" 2000-10-01 "Conflito de Compet\xc3\xaancia" 5 0 0.0418704156479218 0.00037647767487388
"136" 2000-10-01 "Conflito de Jurisdi\xc3\xa7\xc3\xa3o" 1 0 0.0418704156479218 7.5295534974776e-05
"137" 2000-10-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 3 0 0.0418704156479218 0.000225886604924328
"138" 2000-10-01 "Desaforamento" 1 0 0.0418704156479218 7.5295534974776e-05
"139" 2000-10-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 388 0 0.0418704156479218 0.0292146675702131
"140" 2000-10-01 "Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o" 1 0 0.0418704156479218 7.5295534974776e-05
"141" 2000-10-01 "Habeas Corpus" 43 0 0.0418704156479218 0.00323770800391537
"142" 2000-10-01 "Mandado de Seguran\xc3\xa7a" 6 0 0.0418704156479218 0.000451773209848656
"143" 2000-10-01 "Medida Cautelar Inominada" 4 0 0.0418704156479218 0.000301182139899104
"144" 2000-10-01 "Outros Feitos" 2 0 0.0418704156479218 0.000150591069949552
"145" 2000-10-01 "Processo Crime" 7 0 0.0418704156479218 0.000527068744823432
"146" 2000-10-01 "Queixa" 1 0 0.0418704156479218 7.5295534974776e-05
"147" 2000-10-01 "Recurso de Of\xc3\xadcio" 2 0 0.0418704156479218 0.000150591069949552
"148" 2000-10-01 "Recurso em Sentido Estrito" 31 0 0.0418704156479218 0.00233416158421806
"149" 2000-10-01 "Reexame Necess\xc3\xa1rio" 48 0 0.0418704156479218 0.00361418567878925
"150" 2000-11-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 7 0 0.0466075794621027 0.000527068744823432
"151" 2000-11-01 "Agravo" 99 0 0.0466075794621027 0.00745425796250282
"152" 2000-11-01 "Agravo de Instrumento" 824 0 0.0466075794621027 0.0620435208192154
"153" 2000-11-01 "Agravo Interno" 52 0 0.0466075794621027 0.00391536781868835
